Parameter: soil moisture
Dataset_name: ERA5 land
Tags: fujkfu, kfkf
Domain: Geomorphology
Unit: m^2
Resolution-temporal-min: <=1h
Resolution-temporal-max: >10a
Resolution-spatial-min_[m]: 1
Resolution-spatial-max_[m]: 10arcsec
Resolution-spatial-unconverted_units: 634d
Resolution-spatial-vertical: shallow
Extent-temporal-start: 2022-01-01
Extent-temporal-end: 2022-01-14
Extent-spatial: Europe
Data-type: asda
Data-format: fsd
Data-file_extension: .tge
Coordinate_reference_system: WGS84
Download_link: hrth
Literatur-year_(first): 2010
Literatur-link: www.bgr.de
Version_updates: yes
Upload_delay: 1a
Temporal_type: static
Access: free
Publisher: asdas
License: CCBY0
Data_limitations: <asda
Method: model-based
Usage_requirement: raw
minTempRes: wef
maxTempRes: sadf
Comment: <teeeeext (data type: teeeeeeext)>
